caseid,year,id,age,sex,race,hispanic,racehisp,uscitzn,educ,degree,vetyears,wordsum,cohort,birthmo,zodiac,wrkstat,wrkslf,wrkgovt,marital,sibs,childs,res16,reg16,mobile16,born,region,xnorcsiz,srcbelt,size,vote12,pres12,if12who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,uswar,uswary,relig,denom,other,fund,attend,reliten,pray,prayer,bible,affrmact,wrkwayup,closeblk,closewht,happy,hapmar,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,socrel,socommun,socfrend,socbar,class,rank,satfin,finalter,finrela,unemp,union,getahead,parsol,kidssol,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,chldidel,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,letdie1,suicide1,suicide2,suicide3,suicide4,owngun,pistol,shotgun,rifle,rowngun,hunt,news,tvhours,phone,coop,comprend,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,rushed,bored,helppoor,helpnot,helpsick,helpblk,compuse,webmob,emailmin,emailhr,usewww,wwwhr,wwwmin,genegen,letin1,sexornt,inthisp,intrace1,intrace2,intrace3,spanself,spanint,ballot,version,issp,sampcode,sample,samplerc,rsampcode,phase,vpsu,vstrat,wtss,wtssnr,wtssall,formwt,oversamp,lngthinv,intage,easyget,intethn,mode,intsex,feelevel,intyrs,artexbt,bigbang2,brlawfl,brnotax,cctv,clssmtes,discwk5,emonitor,evolved2,facebook,famorjob,flexhrs1,flickr,found,gendereq,givinffor,givinfusa,googlesn,govtinfo,gvinflu1,gvinflu2,harass5,hlthstrt,hope1,hope2,hope3,hope4,hope5,hope6,huadd,huaddwhy,hunt1,income16,incuspop,intmbile,intrecnt,intstart,intuse,intwkdyh,intwkdym,intwkenh,intwkenm,kidsinhh,leasthrs,linkedin,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,lowpay,pinterst,polgbeco,prvdhlth,prvdold,prvdschl,racethas,racethbl,racethhi,racethna,racethot,racethwh,rcontact,respond,rgroomed,rhlthend,rincom16,rlooks,rweight,sei10,sei10educ,sei10inc,sethrs,snapchat,snsmyear,tumblr,twitter,union1,unionsbd,usualhrs,vine,whatsapp,hotcore,boyorgrl,electron,bigbang,condrift,evolved,earthsun,radioact,viruses,lasers,spend18,partyid,hotcore_r,boyorgrl_r,electron_r,bigbang_r,condrift_r,evolved_r,earthsun_r,radioact_r,viruses_r,science_quiz,lasers_r,lotr2_rev,lotr4_rev,lotr5_rev,lot_scale,future_scale,abany_r,abdefect_r,abpoor_r,abhlth_r,abnomore_r,abrape_r,absingle_r,abortion,social_disconnect,authoritarianism,spkath_r,spkcom_r,spkhomo_r,spkmil_r,spkmslm_r,spkrac_r,tolerance,assisted,social_media,fechld_rev,femrole,obamavote,race2,unionhh,envir_spend,age5,female,fair_r,trust_r,social_trust
61910,2016,2311,57,1,1,2,3,,14,2,0,6,1959,,5,4,2,2,5,13,2,3,7,2,1,7,2,5,111,1,1,,5,,,,,,,,,,,,1,1,2,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,,1,18,,1,5,3,3,2,2,1,2,,,3,,,,2,1,2,3,2,3,2,2,3,3,3,2,3,2,2,2,3,5,1,4,2,6,4,2,7,2,3,3,2,2,1,4,,2,2,2,,,,,,,,8,1,1,1,4,1,,,1,1,1,1,2,2,2,,,,,,,1,8,6,1,1,2,1,3,3,1,2,1,2,,,3,3,1,2,1,,0,0,1,8,0,,3,3,1,2,,,,,2,2,1,657,10,9,657,1,1,3257,.9569935115,1.033601458,.9569935115,1,1,87,62,,2,1,1,30,0,2,,,,,1,1,,,1,3,3,2," ",,,,2,,,,1,2,,,,,,,1,,,18,2,1,1,2010,1,8,0,1,0,2,,1,,,,,,,2,2,,,,,,,,,,,,1,4,2,14,3,3,45.1,54.8,44.7,,2,2008,2,2,4,4,,2,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,2,3,4,7,,0,0,,4,0,1,1,1
61911,2016,2312,78,1,3,1,4,,16,3,3,8,1938,,4,5,2,1,5,2,8,3,0,3,1,7,2,5,111,1,3,,3,2,3,3,,3,3,3,3,1,2,3,1,2,1,2,,2,1,,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,1,5,2,,1,3,,,2,,,,,2,,4,1,3,4,,4,4,3,,3,1,,,,,,,,,,,,,,,,,,,,,,3,3,2,7,3,5,2,2,3,,,1,,,2,1,1,1,2,1,2,2,2,3,1,3,4,2,1,2,,2,1,1,1,1,1,3,3,3,3,3,1,4,1,3,1,1,1,2,1,3,2,2,2,2,,,,,,,1,,0,20,,60,0,4,4,,2,1,2,,,,1,1,1,657,10,9,657,1,1,3257,.4784967557,.5168007288,.4784967557,1,1,172,28,,5,1,2,,0,,,1,3,3,,,2,,,,,," ",4,2,2,,7,3,8,,,,,,,,,1,,1,2,2,,,,,,,,,2,,,,,,,,,,,2,5,,1,,,,,,,,1,4,,,4,2,85,97.8,82.6,,,,,,,,,,,1,2,1,8,1,1,1,2,2,2,,4,1,0,1,0,1,1,1,1,1,8,1,,,,,,0,1,0,1,1,1,0,4,5,,1,1,1,1,1,1,6,2,,3,4,,,,2,5,0,,,
61912,2016,2313,71,1,1,1,1,,16,3,0,8,1945,,7,5,1,2,1,1,3,3,7,2,1,7,2,5,111,1,2,,6,,,,,,,,,,,,1,1,1,2,1,2,3,,2,1,4,,1,4,,1,5,2,2,5,2,1,4,2,2,5,1,1,2,2,,,2,1,22,,3,3,2,4,2,2,4,1,5,5,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,4,2,1,3,4,,,3,,,2,1,1,1,1,1,1,1,8,1,1,2,2,1,2,3,,3,1,1,2,2,1,1,1,1,1,1,1,3,1,3,1,1,2,1,3,3,2,2,1,1,,,,,,,2,1,50,0,,1,0,2,3,,3,1,,,,,1,1,1,657,10,9,657,1,1,3257,.9569935115,1.033601458,.9569935115,1,1,123,57,,3,2,2,75,0,,1,1,2,1,,,1,1,,,,," ",3,2,1,,8,7,8,,2,,,,,,,1,,1,21,1,,,,,,,,,2,,,,,,,,,,,2,1,1,1,,,,,,,,2,,,,,,67.7,76.9,76.8,,,,,,,,,,,1,1,1,,1,,1,2,1,2,,5,1,1,1,,1,,1,1,0,,1,,,,,,1,1,1,1,1,1,1,7,6,,1,1,1,0,0,1,4,2,,4,7,,0,,,5,0,,,
61913,2016,2314,64,1,1,1,1,,20,4,1,,1952,,8,5,2,2,1,2,3,3,8,3,1,7,2,5,111,1,1,,2,2,1,2,2,2,2,2,1,3,2,1,1,2,2,1,1,2,2,1,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,2,3,1,,,1,22,,3,6,1,1,,2,,,7,8,1,1,2,1,1,2,1,3,2,1,1,1,1,2,1,2,1,1,3,2,3,4,5,2,1,,,,,3,3,1,3,4,2,4,2,2,2,,1,1,1,1,1,1,1,,,,,,,3,4,2,,,,,,,1,1,2,2,1,4,,,6,1,1,1,,,,,,,,2,3,1,1,1,1,,,,,,,,,,3,1,2,,,,,3,3,1,657,10,9,657,1,1,3257,.9569935115,1.033601458,.9569935115,1,1,200,62,,2,1,1,,0,1,,,,,2,2,,,2,2,4,2," ",,,,2,,,,2,,7,7,7,8,7,6,1,,4,24,2,1,1,1999,1,,,,,2,,2,3,2,4,1,5,4,,2,,,,,0,0,0,0,0,10,,1,4,,,4,2,77.4,85.7,87,,2,,2,2,4,4,,2,2,,,,,,,,,,,31,0,,,,,,,,,,,,4,5,1,15,36,1,1,1,1,1,1,1,7,,5,1,1,1,1,1,1,6,,0,,,,0,0,3,5,0,3,3,3
61914,2016,2315,44,1,1,2,3,2,11,0,0,6,1972,,5,4,1,2,1,9,1,3,7,2,2,7,2,5,111,2,,1,4,3,1,1,2,1,1,1,,1,3,3,2,1,,2,1,2,3,,1,2,5,1,2,5,1,2,4,1,2,5,1,2,5,1,2,5,1,1,1,2,,,1,1,60,12,1,3,2,1,2,1,4,1,1,5,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,5,2,4,2,2,4,,,1,,,2,1,2,2,2,1,2,2,4,1,1,1,3,3,1,1,,1,1,2,2,2,2,1,2,2,1,1,4,3,4,6,1,1,1,3,1,2,2,2,2,1,,,,,,,1,,0,4,,14,0,2,2,,2,1,3,,,,1,1,1,657,10,9,657,1,1,3257,.9569935115,1.033601458,.9569935115,1,1,101,65,,3,1,2,,8,,,1,1,2,,,4,,,,,," ",2,4,4,,10,3,10,,,,,,,,,1,,4,26,2,,,,,,,,,2,,,,,,,,,,,2,1,5,5,,,,,,,,2,3,,26,3,2,32,25.4,39.4,,,,,,,,,,,1,1,1,2,1,2,2,2,1,1,,4,1,1,1,0,1,0,0,1,0,5,0,,,,,,0,1,0,0,0,1,0,2,4,,0,0,0,0,0,0,0,1,,2,2,1,0,,2,3,0,,,
61915,2016,2316,57,2,1,1,1,,15,1,0,10,1959,,5,7,2,2,3,5,0,3,7,1,1,7,2,5,111,2,,,4,,1,,2,,1,1,1,3,2,1,2,1,1,1,2,3,1,6,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,5,,,,0,3,2,1,3,4,3,,,3,,,,2,1,2,3,3,3,3,3,,3,3,3,3,3,3,3,4,5,1,3,2,4,7,7,7,2,10,3,2,2,2,4,,5,4,2,,,,,,,,8,2,1,3,4,1,,,2,2,1,1,1,2,1,,,,,,,5,4,2,1,1,1,2,2,3,1,2,1,2,,,3,5,2,2,1,,10,0,,30,0,,4,,3,1,,,,,2,2,1,657,10,9,657,2,1,3257,.7821816815,.8447958282,.7821816815,1,1,186,57,,3,1,2,75,0,,,4,1,1,2,,1,,2,,,2," ",1,1,3,2,0,1,3,,,6,1,2,1,1,1,1,,,9,2,2,1,2001,1,,,,,2,,2,2,5,1,5,5,1,,2,2,1,1,1,,,,,,,,1,5,,,5,2,99.9,,,,2,,2,2,4,,,2,2,1,8,1,,1,1,1,2,1,1,,3,1,0,1,,1,1,1,1,0,,0,1,1,1,1,6,,,,,,,,,15,1,,,,,,,,2,0,3,5,,0,0,4,4,1,1,1,1
61916,2016,2317,25,2,1,1,1,,14,1,0,10,1991,,6,1,2,2,1,2,0,4,7,1,1,7,2,5,111,2,,2,4,2,1,2,2,1,1,2,1,2,2,3,2,2,1,2,1,1,1,,2,1,4,2,2,,1,1,5,2,2,4,2,1,4,2,1,4,2,2,1,,,,1,1,14,,1,7,2,3,1,2,2,4,6,6,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,7,3,6,2,4,1,1,3,,,2,,,2,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,,2,1,1,2,2,2,2,2,2,2,,4,5,3,6,1,1,1,1,4,4,1,2,1,2,,,,,,,1,,30,0,,5,0,3,1,,3,1,,,,,1,1,1,657,10,9,657,1,1,3257,.9569935115,1.033601458,.9569935115,1,1,115,57,,3,1,2,75,0,,,3,1,2,,,2,,,,,," ",2,3,3,,8,3,1,,,,,,,,,1,,4,19,2,,,,,,,,,2,,,,,,,,,,,2,1,2,1,,,,,,,,1,5,,13,4,3,35.8,56.1,22.8,,,,,,,,,,,1,2,1,1,1,2,1,2,2,2,29,5,1,0,1,1,1,0,1,1,1,8,1,,,,,,0,0,0,1,0,0,0,1,9,,1,1,1,0,1,0,4,2,,4,9,0,0,,4,1,1,,,
61917,2016,2318,30,1,1,1,1,,16,1,0,,1986,,9,1,2,1,5,1,2,1,8,2,1,8,1,2,546,2,,1,2,,,,,,,,,,,,2,2,2,1,2,2,1,1,1,2,5,2,1,4,2,1,5,2,1,4,2,1,4,2,2,5,2,1,2,2,1,,,2,,,2,3,1,3,,2,,,5,5,1,,2,1,2,2,1,2,2,2,3,2,2,3,2,2,1,2,2,2,4,3,5,1,2,,,,,2,5,2,1,3,2,4,1,3,2,,1,1,1,1,1,2,2,,,,,,,1,4,2,,,,,,,1,1,2,2,1,4,,,6,2,1,2,,,,,,,,3,,1,3,3,5,,,,,,,,,,3,1,4,1,,,,3,3,1,658,10,9,658,1,2,3257,.9569935115,.9432535389,.9569935115,1,1,75,64,,5,1,2,20,12,2,,,,,2,2,,,2,4,2,2," ",,,,2,,,,2,1,6,6,7,7,7,7,1,,4,19,2,1,2,2005,1,0,30,0,30,1,40,2,4,2,4,2,2,4,,1,,,,,0,0,0,0,0,10,2,1,4,1,18,4,3,65.3,77.2,71.2,1,1,2015,2,2,4,4,40,2,2,,,,,,,,,,,,3,,,,,,,,,,,,4,4,4,18,34,0,1,1,1,1,1,0,5,,4,0,1,1,1,0,1,4,,2,,,1,0,0,,1,0,3,3,3
61918,2016,2319,58,2,3,30,3,,14,2,0,7,1958,,3,1,2,2,3,8,0,3,8,3,1,8,1,2,546,1,,,6,3,2,1,1,1,1,1,,1,2,3,1,1,2,2,,2,1,5,,,,,,,,,,,,,,,,,,,,1,,2,2,1,,1,70,,2,7,1,1,2,1,3,2,,,2,,,,1,2,1,3,2,2,2,3,2,3,2,3,2,2,2,2,1,5,2,4,3,2,7,3,5,2,4,3,3,3,2,4,,2,6,2,,,,,,,,3,3,1,2,2,1,,,1,2,,2,2,2,2,,,,,,,1,1,6,1,1,1,2,3,2,1,2,1,,,,2,3,4,3,1,,0,7,,10,0,,4,3,1,4,1,,,,2,2,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,105,64,,5,1,2,50,12,,,3,1,2,2,,3,,2,,,2," ",2,3,3,2,6,1,3,,,8,8,8,8,8,7,1,,,19,2,1,1,1998,1,2,0,4,0,2,,2,5,2,4,1,1,5,,1,2,3,3,1,,,,,,,,1,4,,19,3,3,43,55.4,39.1,,2,2015,2,2,4,,,2,2,1,8,8,,1,2,1,2,1,8,,4,1,0,0,,1,0,1,1,0,,0,4,5,5,22,41,,,,,,,,,9,4,,,,,,,,,1,3,5,,,0,3,4,1,3,3,3
61919,2016,2320,76,1,1,1,1,,12,1,2,7,1940,,3,5,2,2,1,2,0,3,8,1,1,8,1,2,546,1,1,,5,,,,,,,,,,,,1,1,2,2,1,2,1,,2,1,5,2,2,5,2,1,5,2,2,5,1,1,5,2,2,5,1,1,1,2,,,1,1,14,,1,0,2,1,2,1,4,1,8,9,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,2,3,2,2,3,,,1,,,2,2,2,1,2,1,2,2,2,2,1,2,4,1,1,1,,1,1,1,2,2,2,1,2,2,1,1,4,1,8,3,1,1,2,2,4,3,1,2,1,2,,,,,,,1,,30,0,,4,0,3,2,,1,4,1,,,,1,1,1,658,10,9,658,1,2,3257,.9569935115,.9432535389,.9569935115,1,1,122,64,,5,1,2,20,12,,1,1,2,2,,,2,1,,,,," ",4,3,2,,10,1,3,,2,,,,,,,1,,4,20,1,,,,,,,,,2,,,,,,,,,,,2,2,1,1,,,,,,,,1,4,2,,3,3,67.7,76.9,76.8,,,,,,,,,,,1,2,1,,2,,1,2,2,2,,4,1,0,1,,0,,1,1,1,,1,,,,,,0,0,0,1,0,1,0,2,17,,1,1,1,0,0,0,3,2,,3,7,,0,,,5,0,,,
61920,2016,2321,28,2,1,1,1,,14,1,0,10,1988,,2,1,2,2,5,2,0,5,8,1,1,8,1,2,546,2,,1,2,,,,,,,,,,,,1,2,2,,1,1,2,1,,,,,,,,,,,,,,,,,,,,2,,2,2,2,,1,60,64,1,6,1,1,1,2,4,3,,,2,,,,2,2,1,2,3,2,2,1,1,3,2,2,2,1,2,1,4,5,2,3,1,2,7,4,7,1,9,2,1,2,1,4,,1,4,2,,,,,,,,8,1,1,,2,1,,,2,3,1,1,2,2,2,,,,,,,4,2,6,1,1,2,2,1,3,1,2,1,2,,,1,1,1,2,1,,0,2,,12,0,,2,3,1,4,1,,,,2,2,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,98,64,,5,1,2,50,12,2,,,,,2,,,,2,3,3,2," ",,,,2,,,,2,3,,,,,,,1,,,16,3,2,1,2001,1,1,0,12,0,1,,2,,,,,,,,2,,,,,,,,,,,2,1,2,3,16,3,1,20.1,38.4,6.9,,2,2007,1,1,4,5,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,2,2,3,4,1,0,0,,1,1,3,3,3
61921,2016,2322,51,1,1,1,1,,12,1,3,6,1965,,4,1,2,2,1,3,3,1,8,2,1,8,1,2,546,,,,3,1,1,2,1,1,2,1,,2,2,2,1,1,2,2,1,2,1,,2,1,4,2,1,5,1,2,4,2,2,5,2,1,4,2,2,5,1,1,1,2,,,2,12,,,,4,1,1,2,2,4,1,5,5,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,2,10,1,1,4,,,1,,,2,1,1,1,2,1,2,1,4,4,1,1,4,2,1,,,2,1,1,2,2,2,1,2,2,1,1,1,4,2,6,1,1,1,2,2,3,1,2,1,1,,,,,,,2,1,0,4,,15,0,2,3,,1,1,,,,,1,1,1,658,10,9,658,2,2,3257,1.564363363,1.541903117,1.564363363,1,1,136,60,,1,2,2,75,9,,,4,1,4,,,4,,,,,," ",1,3,4,,1,8,3,,,,,,,,,1,,1,21,3,,,,,,,,,1,,,,,,,,,,,1,,5,1,,,,,,,,1,,,18,,,25.2,20.4,26.6,,,,,,,,,,,1,2,1,1,1,8,1,2,1,2,,1,1,0,1,1,1,0,1,1,0,7,1,,,,,,1,1,0,1,1,1,0,5,5,,1,0,1,0,0,1,3,2,,3,5,,0,,4,4,0,,,
61922,2016,2323,35,1,1,1,1,,16,3,0,6,1981,,9,1,2,2,1,2,0,3,9,3,1,8,1,2,546,1,1,,3,,,,,,,,,,,,1,2,1,2,1,2,1,,2,1,4,2,2,5,1,1,5,2,1,5,2,1,4,2,1,5,2,1,1,3,,,2,4,,,3,1,4,6,1,3,4,2,5,5,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,4,6,2,3,3,4,2,1,3,,,2,,,2,1,1,1,1,1,1,1,2,1,1,3,4,2,3,4,,2,1,1,1,1,1,1,2,2,1,1,4,2,2,6,1,1,2,2,3,3,2,2,2,2,,,,,,,1,,0,6,,30,0,4,1,,1,4,1,,,,1,1,1,658,10,9,658,1,2,3257,.9569935115,.9432535389,.9569935115,1,1,81,64,,5,1,2,50,12,,,3,1,1,,,3,1,,,,," ",1,3,2,,2,3,2,,1,,,,,,,1,,4,22,1,,,,,,,,,2,,,,,,,,,,,2,3,3,1,,,,,,,,1,4,1,18,4,2,84,97.3,81.8,,,,,,,,,,,1,1,8,,1,,1,2,1,2,,2,1,1,0,,1,,1,1,0,,1,,,,,,1,1,1,1,1,1,1,7,9,,1,1,1,1,1,0,5,2,,3,6,,0,,,2,0,,,
61923,2016,2324,22,2,2,2,2,,14,1,0,5,1994,,5,1,2,2,5,5,0,4,8,2,1,8,1,2,546,1,1,,6,,,,,,,,,,,,2,1,2,1,1,1,1,,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,1,2,,,2,4,,,3,0,4,6,2,3,1,4,6,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,2,7,2,2,3,,,1,,,2,1,2,1,1,1,2,2,3,1,1,2,4,2,1,4,,1,1,1,2,2,2,2,2,2,2,,4,5,6,6,1,1,2,3,3,3,1,2,1,1,,,,,,,1,,0,1,,15,0,2,3,,1,4,1,,,,1,1,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,77,64,,5,1,2,50,12,,,3,1,3,,,3,1,,,,," ",1,4,4,,0,1,8,,1,,,,,,,1,,4,16,3,,,,,,,,,2,,,,,,,,,,,2,3,5,1,,,,,,,,1,3,2,15,4,4,24.2,40.8,11.3,,,,,,,,,,,1,1,2,,1,,2,2,1,1,,4,1,1,0,,1,,0,1,0,,0,,,,,,0,1,1,1,0,1,0,4,6,,1,1,1,1,1,1,6,2,,2,5,,1,,,1,1,,,
61924,2016,2325,25,2,2,1,2,2,16,3,0,,1991,,9,6,2,2,5,2,0,6,0,3,2,8,1,2,546,2,,1,4,,2,2,2,1,2,2,2,3,2,2,1,,2,2,,2,3,1,,2,4,1,2,5,1,1,5,2,2,5,1,1,4,2,2,5,1,2,1,,1,,,1,60,207,1,4,2,3,,1,,,5,9,2,,2,1,1,2,2,2,,1,1,1,,2,1,2,,1,2,1,2,5,3,1,4,,,,,1,6,3,3,2,1,4,1,2,1,,1,2,1,2,2,2,2,,,,,,,1,4,1,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,2,3,3,1,3,1,,,,,,,,,,3,1,4,1,,,,3,3,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,105,64,,5,1,2,55,12,2,,,,,2,2,,,2,3,2,2," ",,,,2,,,,2,,6,8,5,5,6,5,1,,4,1,3,1,1,2004,1,3,0,5,0,2,,2,3,3,4,2,2,4,3,1,,,,,0,10,0,0,0,0,,1,3,,1,3,3,82.4,95.7,83.1,,2,2008,2,2,4,4,,2,1,,,,,,,,,,,,3,,,,,,,,,,,,3,4,4,16,29,0,1,0,1,0,0,0,2,,4,0,1,1,0,0,0,2,,2,,,1,1,0,1,1,1,3,1,2
61925,2016,2326,59,2,1,1,1,,19,4,0,6,1957,,6,1,2,1,5,2,0,3,8,2,1,8,1,2,546,1,1,,5,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,,1,1,5,2,1,5,2,1,5,2,1,4,2,1,4,2,1,5,2,2,1,2,,,1,1,14,,1,4,2,2,2,2,4,2,5,5,2,,2,1,,,,,,,,,,,,,,,,,,,,,,4,7,4,6,3,5,2,2,3,,,1,,,2,1,2,1,2,1,2,1,3,2,1,1,3,1,1,1,,2,1,1,2,2,1,2,2,2,2,,4,3,2,3,1,1,1,1,3,3,2,2,1,2,,,,,,,1,,0,30,,14,0,3,3,,1,4,1,,,,1,1,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,86,64,,5,1,2,50,12,,,2,3,1,,,3,,,,,," ",2,3,3,,8,3,7,,,,,,,,,1,,4,20,3,,,,,,,,,2,,,,,,,,,,,2,2,1,1,,,,,,,,1,3,,20,3,1,61.4,82.3,55.1,,,,,,,,,,,8,1,1,2,1,2,1,2,2,2,27,1,0,1,1,0,1,0,1,1,1,7,1,,,,,,1,1,0,1,0,1,0,4,12,,1,1,1,1,1,1,6,2,,4,7,,0,,3,4,1,,,
61926,2016,2327,55,2,1,1,1,,12,1,0,5,1961,,8,7,2,2,5,1,0,6,8,1,1,8,1,2,546,1,2,,6,1,2,2,2,1,1,2,1,1,3,3,1,3,3,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,1,,2,2,1,,1,60,45,1,3,1,1,2,1,3,2,,,2,,,,1,2,2,2,2,2,2,3,2,3,2,2,3,2,3,2,3,5,4,1,2,3,7,3,4,2,5,2,3,3,2,4,,3,6,2,,,,,,,,2,3,1,2,1,1,,,1,2,2,2,2,2,2,,,,,,,2,5,3,2,1,1,2,3,2,2,2,1,2,,,5,5,3,5,2,1,0,1,,,,,5,3,1,4,1,,,,2,2,1,658,10,9,658,1,2,3257,.4784967557,.4716267695,.4784967557,1,1,119,64,,5,1,2,50,12,,,1,2,3,2,,2,,1,,,2," ",2,2,2,2,5,3,2,,,7,5,7,5,6,5,1,,,6,3,1,2,2010,1,1,0,1,0,2,,2,4,2,4,2,2,4,,2,2,1,1,1,,,,,,,,1,3,,,3,3,37.2,65.5,19.3,,2,2015,2,2,4,,,2,2,1,2,1,,8,,2,2,2,2,33,6,1,0,1,,0,,0,1,1,,1,4,4,4,18,29,,,,,,,,,10,4,,,,,,,,0,1,3,5,,0,0,2,4,1,3,1,2
61927,2016,2328,84,1,1,30,3,,16,3,2,,1932,,2,5,2,2,3,3,4,1,8,2,1,8,1,2,546,1,2,,6,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,5,2,1,4,2,2,5,2,1,5,2,1,4,2,1,4,2,1,4,2,1,2,2,2,,,3,,,3,0,2,2,,3,,,1,9,1,,1,1,1,2,1,1,2,2,1,3,3,3,2,3,1,1,2,1,4,5,2,1,3,,,,,4,1,2,3,2,1,4,1,1,1,,1,1,1,2,2,2,2,,,,,,,1,1,3,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,3,2,3,2,4,5,,,,,,,,,,3,1,1,,,,,3,3,1,658,10,9,658,2,2,3257,.7821816815,.7709515585,.7821816815,1,1,95,69,,1,1,2,75,4,1,,,,,2,2,,,2,1,2,2," ",,,,2,,,,2,,8,5,8,8,8,8,1,,4,12,3,2,2,1998,1,,,,,2,,2,4,2,4,4,4,4,3,2,,,,,0,0,0,0,0,10,,1,2,,,3,3,55.3,68.6,56.5,,2,,2,2,4,2,,2,2,,,,,,,,,,,22,6,,,,,,,,,,,,4,2,2,14,39,0,1,0,1,1,0,0,3,,2,1,1,1,1,1,0,5,,0,,,,0,0,4,5,0,3,3,3
61928,2016,2329,55,2,2,1,2,,8,0,0,,1961,,2,8,2,2,3,5,5,4,8,1,1,8,1,2,546,2,,1,4,,,,,,,,,,,,2,1,1,1,3,2,,7,,2,5,2,2,5,1,,,,1,5,2,1,4,2,2,5,1,1,1,2,1,,,1,60,58,1,8,1,1,,1,,,7,7,3,,4,2,1,1,1,2,2,3,1,2,2,1,2,2,1,2,2,1,4,5,1,3,2,,,,,3,5,2,1,2,2,4,1,2,1,,1,1,1,2,1,2,2,,,,,,,3,1,2,,,,,,,2,2,2,2,,4,,,6,1,1,2,,,,,,,,1,,1,5,1,3,,,,,,,,,,3,1,4,1,,,,3,3,1,658,10,9,658,1,2,3257,.9569935115,.9432535389,.9569935115,1,1,104,64,,5,1,2,20,12,2,,,,,,3,,,,1,2,," ",,,,,,,,3,4,7,5,6,3,6,4,1,,4,9,3,,,,2,,,,,2,,,5,4,5,5,4,4,,,,,,,0,10,0,0,0,0,,1,2,4,,2,1,13.6,22.3,4.1,,,,,,4,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,2,13,25,0,1,0,1,1,1,0,4,,1,0,,1,1,0,0,,,,,,1,1,0,,4,1,1,3,2
